from_node_id,to_node_id,day_no,starting_time_in_min,ending_time_in_min,travel_time_in_min
3,4,0,525,540,1.01
3,4,0,540,555,1.02
7,8,0,420,435,6.21
7,8,0,435,450,18.70
7,8,0,450,465,33.71
7,8,0,465,480,48.71
7,8,0,480,495,63.71
7,8,0,495,510,78.72
7,8,0,510,525,86.06
7,8,0,525,540,81.21
7,8,0,540,555,77.88
