Vehicle Selection Mode,--,Network-wide,--
,,08:00_08:15,2399.77
,,08:15_08:30,2173.92
,,08:30_08:45,2106.15
,,08:45_09:00,2211.95
Category,15-min Departure Time Interval,Avg CO2 (g/mile),
,,07:00_07:15,206.26
,,07:15_07:30,187.76
,,07:30_07:45,186.77
,,07:45_08:00,178.62
,,08:00_08:15,173.06
,,08:15_08:30,156.74
,,08:30_08:45,151.80
,,08:45_09:00,159.41
Category,15-min Departure Time Interval,Avg NOx (g/mile),
,,07:00_07:15, 0.50
,,07:15_07:30, 0.40
,,07:30_07:45, 0.44
,,07:45_08:00, 0.38
,,08:00_08:15, 0.40
,,08:15_08:30, 0.31
,,08:30_08:45, 0.30
,,08:45_09:00, 0.33
Category,15-min Departure Time Interval,Avg CO (g/mile),
,,07:00_07:15, 2.57
,,07:15_07:30, 2.37
,,07:30_07:45, 2.28
,,07:45_08:00, 2.13
,,08:00_08:15, 1.97
,,08:15_08:30, 1.69
,,08:30_08:45, 1.73
,,08:45_09:00, 1.74
Category,15-min Departure Time Interval,Avg HC (g/mile),
,,07:00_07:15, 0.06
,,07:15_07:30, 0.06
,,07:30_07:45, 0.06
,,07:45_08:00, 0.06
,,08:00_08:15, 0.06
,,08:15_08:30, 0.05
,,08:30_08:45, 0.05
,,08:45_09:00, 0.05
Category,15-min Departure Time Interval,Avg Miles per Gallon,
,,07:00_07:15,42.54
,,07:15_07:30,46.73
,,07:30_07:45,46.99
,,07:45_08:00,49.12
,,08:00_08:15,50.71
,,08:15_08:30,55.98
,,08:30_08:45,57.78
,,08:45_09:00,55.02
Category,30-min Departure Time Interval,Number of Vehicles,
,,07:00_07:30,1800.00
,,07:30_08:00,1800.00
,,08:00_08:30,1800.00
,,08:30_09:00,1800.00
Category,30-min Departure Time Interval,Cumulative Number of Vehicles,
,,07:00_07:30,1800.00
,,07:30_08:00,3600.00
,,08:00_08:30,5400.00
,,08:30_09:00,7200.00
Category,30-min Departure Time Interval,Total Travel Time (min),
,,07:00_07:30,20112.50
,,07:30_08:00,20135.57
,,08:00_08:30,20181.40
,,08:30_09:00,20393.46
Category,30-min Departure Time Interval,Total Travel Distance (mile),
,,07:00_07:30,19800.00
,,07:30_08:00,19800.00
,,08:00_08:30,19800.00
,,08:30_09:00,19800.00
Category,30-min Departure Time Interval,Avg Travel Time (min),
,,07:00_07:30,11.17
,,07:30_08:00,11.19
,,08:00_08:30,11.21
,,08:30_09:00,11.33
Category,30-min Departure Time Interval,Avg Travel Distance (mile),
,,07:00_07:30,11.00
,,07:30_08:00,11.00
,,08:00_08:30,11.00
,,08:30_09:00,11.00
Category,30-min Departure Time Interval,Avg Speed (mile/hour),
,,07:00_07:30,59.07
,,07:30_08:00,59.00
,,08:00_08:30,58.87
,,08:30_09:00,58.25
Category,30-min Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,07:00_07:30, 1.02
,,07:30_08:00, 1.02
,,08:00_08:30, 1.02
,,08:30_09:00, 1.03
Category,30-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,07:00_07:30, 1.02
,,07:30_08:00, 1.02
,,08:00_08:30, 1.02
,,08:30_09:00, 1.03
Category,30-min Departure Time Interval,Avg Travel Time STD (min),
,,07:00_07:30, 0.05
,,07:30_08:00, 0.05
,,08:00_08:30, 0.06
,,08:30_09:00, 0.06
Category,30-min Departure Time Interval,95th Percentile Travel Time (min),
,,07:00_07:30,11.27
,,07:30_08:00,11.27
,,08:00_08:30,11.33
,,08:30_09:00,11.42
Category,30-min Departure Time Interval,90th Percentile Travel Time (min),
,,07:00_07:30,11.25
,,07:30_08:00,11.26
,,08:00_08:30,11.30
,,08:30_09:00,11.40
Category,30-min Departure Time Interval,80th Percentile Travel Time (min),
,,07:00_07:30,11.21
,,07:30_08:00,11.23
,,08:00_08:30,11.27
,,08:30_09:00,11.38
Category,30-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,07:00_07:30, 1.02
,,07:30_08:00, 1.02
,,08:00_08:30, 1.03
,,08:30_09:00, 1.04
Category,30-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean, 0.01
Category,30-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,07:00_07:30, 1.24
,,07:30_08:00, 1.28
,,08:00_08:30, 1.22
,,08:30_09:00, 1.08
Category,30-min Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,07:00_07:30, 1.02
,,07:30_08:00, 1.02
,,08:00_08:30, 1.03
,,08:30_09:00, 1.04
Category,30-min Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,07:00_07:30, 1.02
,,07:30_08:00, 1.02
,,08:00_08:30, 1.03
,,08:30_09:00, 1.04
Category,30-min Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,07:00_07:30, 1.02
,,07:30_08:00, 1.02
,,08:00_08:30, 1.02
,,08:30_09:00, 1.03
Category,30-min Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,07:00_07:30,20112.50
,,07:30_08:00,20135.57
,,08:00_08:30,20181.40
,,08:30_09:00,20393.46
Category,30-min Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,07:00_07:30,11.17
,,07:30_08:00,11.19
,,08:00_08:30,11.21
,,08:30_09:00,11.33
Category,30-min Departure Time Interval,Total Energy (KJ),
,,07:00_07:30,54105836.00
,,07:30_08:00,50168428.00
,,08:00_08:30,45279508.00
,,08:30_09:00,42749248.00
Category,30-min Departure Time Interval,Total CO2 (g),
,,07:00_07:30,3900793.75
,,07:30_08:00,3617368.50
,,08:00_08:30,3264940.00
,,08:30_09:00,3080989.50
Category,30-min Departure Time Interval,Total NOx (g),
,,07:00_07:30,8977.96
,,07:30_08:00,8089.94
,,08:00_08:30,6972.14
,,08:30_09:00,6234.80
Category,30-min Departure Time Interval,Total CO (g),
,,07:00_07:30,48849.81
,,07:30_08:00,43707.13
,,08:00_08:30,36259.89
,,08:30_09:00,34375.92
Category,30-min Departure Time Interval,Total HC (g),
,,07:00_07:30,1256.36
,,07:30_08:00,1201.27
,,08:00_08:30,1052.34
,,08:30_09:00,1051.55
Category,30-min Departure Time Interval,Total Gallon,
,,07:00_07:30,444.58
,,07:30_08:00,412.23
,,08:00_08:30,372.06
,,08:30_09:00,351.27
Category,30-min Departure Time Interval,Avg Energy (KJ/mile),
,,07:00_07:30,2732.62
,,07:30_08:00,2533.76
,,08:00_08:30,2286.84
,,08:30_09:00,2159.05
Category,30-min Departure Time Interval,Avg CO2 (g/mile),
,,07:00_07:30,197.01
,,07:30_08:00,182.70
,,08:00_08:30,164.90
,,08:30_09:00,155.61
Category,30-min Departure Time Interval,Avg NOx (g/mile),
,,07:00_07:30, 0.45
,,07:30_08:00, 0.41
,,08:00_08:30, 0.35
,,08:30_09:00, 0.31
Category,30-min Departure Time Interval,Avg CO (g/mile),
,,07:00_07:30, 2.47
,,07:30_08:00, 2.21
,,08:00_08:30, 1.83
,,08:30_09:00, 1.74
Category,30-min Departure Time Interval,Avg HC (g/mile),
,,07:00_07:30, 0.06
,,07:30_08:00, 0.06
,,08:00_08:30, 0.05
,,08:30_09:00, 0.05
Category,30-min Departure Time Interval,Avg Miles per Gallon,
,,07:00_07:30,44.54
,,07:30_08:00,48.03
,,08:00_08:30,53.22
,,08:30_09:00,56.37
Category,1-hour Departure Time Interval,Number of Vehicles,
,,07:00_08:00,3600.00
,,08:00_09:00,3600.00
Category,1-hour Departure Time Interval,Cumulative Number of Vehicles,
,,07:00_08:00,3600.00
,,08:00_09:00,7200.00
Category,1-hour Departure Time Interval,Total Travel Time (min),
,,07:00_08:00,40248.07
,,08:00_09:00,40574.83
Category,1-hour Departure Time Interval,Total Travel Distance (mile),
,,07:00_08:00,39600.00
,,08:00_09:00,39600.00
Category,1-hour Departure Time Interval,Avg Travel Time (min),
,,07:00_08:00,11.18
,,08:00_09:00,11.27
Category,1-hour Departure Time Interval,Avg Travel Distance (mile),
,,07:00_08:00,11.00
,,08:00_09:00,11.00
Category,1-hour Departure Time Interval,Avg Speed (mile/hour),
,,07:00_08:00,59.03
,,08:00_09:00,58.56
Category,1-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,07:00_08:00, 1.02
,,08:00_09:00, 1.02
Category,1-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,07:00_08:00, 1.02
,,08:00_09:00, 1.02
Category,1-hour Departure Time Interval,Avg Travel Time STD (min),
,,07:00_08:00, 0.05
,,08:00_09:00, 0.08
Category,1-hour Departure Time Interval,95th Percentile Travel Time (min),
,,07:00_08:00,11.27
,,08:00_09:00,11.40
Category,1-hour Departure Time Interval,90th Percentile Travel Time (min),
,,07:00_08:00,11.25
,,08:00_09:00,11.38
Category,1-hour Departure Time Interval,80th Percentile Travel Time (min),
,,07:00_08:00,11.22
,,08:00_09:00,11.35
Category,1-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,07:00_08:00, 1.02
,,08:00_09:00, 1.04
Category,1-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean, 0.01
Category,1-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,07:00_08:00, 1.25
,,08:00_09:00, 0.88
Category,1-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,07:00_08:00, 1.02
,,08:00_09:00, 1.04
Category,1-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,07:00_08:00, 1.02
,,08:00_09:00, 1.03
Category,1-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,07:00_08:00, 1.02
,,08:00_09:00, 1.03
Category,1-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,07:00_08:00,40248.07
,,08:00_09:00,40574.83
Category,1-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,07:00_08:00,11.18
,,08:00_09:00,11.27
Category,1-hour Departure Time Interval,Total Energy (KJ),
,,07:00_08:00,104274296.00
,,08:00_09:00,88028584.00
Category,1-hour Departure Time Interval,Total CO2 (g),
,,07:00_08:00,7518168.00
,,08:00_09:00,6345931.50
Category,1-hour Departure Time Interval,Total NOx (g),
,,07:00_08:00,17067.89
,,08:00_09:00,13206.92
Category,1-hour Departure Time Interval,Total CO (g),
,,07:00_08:00,92556.94
,,08:00_09:00,70635.77
Category,1-hour Departure Time Interval,Total HC (g),
,,07:00_08:00,2457.63
,,08:00_09:00,2103.89
Category,1-hour Departure Time Interval,Total Gallon,
,,07:00_08:00,856.81
,,08:00_09:00,723.32
Category,1-hour Departure Time Interval,Avg Energy (KJ/mile),
,,07:00_08:00,2633.19
,,08:00_09:00,2222.94
Category,1-hour Departure Time Interval,Avg CO2 (g/mile),
,,07:00_08:00,189.85
,,08:00_09:00,160.25
Category,1-hour Departure Time Interval,Avg NOx (g/mile),
,,07:00_08:00, 0.43
,,08:00_09:00, 0.33
Category,1-hour Departure Time Interval,Avg CO (g/mile),
,,07:00_08:00, 2.34
,,08:00_09:00, 1.78
Category,1-hour Departure Time Interval,Avg HC (g/mile),
,,07:00_08:00, 0.06
,,08:00_09:00, 0.05
Category,1-hour Departure Time Interval,Avg Miles per Gallon,
,,07:00_08:00,46.22
,,08:00_09:00,54.75
Category,2-hour Departure Time Interval,Number of Vehicles,
,,06:00_08:00,3600.00
,,08:00_10:00,3600.00
Category,2-hour Departure Time Interval,Cumulative Number of Vehicles,
,,06:00_08:00,3600.00
,,08:00_10:00,7200.00
Category,2-hour Departure Time Interval,Total Travel Time (min),
,,06:00_08:00,40248.07
,,08:00_10:00,40574.83
Category,2-hour Departure Time Interval,Total Travel Distance (mile),
,,06:00_08:00,39600.00
,,08:00_10:00,39600.00
Category,2-hour Departure Time Interval,Avg Travel Time (min),
,,06:00_08:00,11.18
,,08:00_10:00,11.27
Category,2-hour Departure Time Interval,Avg Travel Distance (mile),
,,06:00_08:00,11.00
,,08:00_10:00,11.00
Category,2-hour Departure Time Interval,Avg Speed (mile/hour),
,,06:00_08:00,59.03
,,08:00_10:00,58.56
Category,2-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,06:00_08:00, 1.02
,,08:00_10:00, 1.02
Category,2-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,06:00_08:00, 1.02
,,08:00_10:00, 1.02
Category,2-hour Departure Time Interval,Avg Travel Time STD (min),
,,06:00_08:00, 0.05
,,08:00_10:00, 0.08
Category,2-hour Departure Time Interval,95th Percentile Travel Time (min),
,,06:00_08:00,11.27
,,08:00_10:00,11.40
Category,2-hour Departure Time Interval,90th Percentile Travel Time (min),
,,06:00_08:00,11.25
,,08:00_10:00,11.38
Category,2-hour Departure Time Interval,80th Percentile Travel Time (min),
,,06:00_08:00,11.22
,,08:00_10:00,11.35
Category,2-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,06:00_08:00, 1.02
,,08:00_10:00, 1.04
Category,2-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean, 0.01
Category,2-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,06:00_08:00, 1.25
,,08:00_10:00, 0.88
Category,2-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,06:00_08:00, 1.02
,,08:00_10:00, 1.04
Category,2-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,06:00_08:00, 1.02
,,08:00_10:00, 1.03
Category,2-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,06:00_08:00, 1.02
,,08:00_10:00, 1.03
Category,2-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,06:00_08:00,40248.07
,,08:00_10:00,40574.83
