node_id,QEM_reference_node_id,CycleLength,Offset,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,protected_flag,permitted_flag,sim_turn_volume,sim_turn_hourly_volume,sim_turn_percentage,sim_turn_delay_in_second,obs_turn_volume,obs_turn_hourly_volume,obs_turn_percentage,obs_turn_delay_in_second,QEM_TurnDirection,QEM_TurnVolume,QEM_LinkVolume,QEM_Lanes,QEM_Shared,QEM_Width,QEM_Storage,QEM_StLanes,QEM_Grade,QEM_Speed,QEM_IdealFlow,QEM_LostTime,QEM_Phase1,QEM_PermPhase1,QEM_DetectPhase1,QEM_EffectiveGreen,QEM_Capacity,QEM_VOC,QEM_Delay,QEM_LOS,QEM_SatFlow,GreenStartTime,GreenEndTime,
29, ,0,0,28,2, ,Through,EBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,12,0,0,0,60,1900,4,2,0,0,0,0,0,0, ,0,0,0,
30, ,0,0,1,31, ,Through,EBT,0,0,0,98,98,100,0,0,0,0,0, ,0,0,2,0,12,0,0,0,45,1900,4,4,0,0,0,0,0,0, ,0,0,0,
30, ,0,0,31,1, ,Through,WBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,12,0,0,0,65,1900,4,6,0,0,0,0,0,0, ,0,0,0,
31, ,100,0,30,32, ,Through,EBT,0,0,0,98,98,100,0,0,0,0,0, ,3600,0,2,0,12,0,0,0,45,1900,4,4,0,0,50,0,0,0, ,1900,0,0,
31, ,100,0,30,36, ,Left,EBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,40,1900,4,4,0,0,6,0,0,0, ,1400,0,0,
31, ,100,0,30,37, ,Right,EBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,40,1900,4,4,0,0,6,0,0,0, ,1900,0,0,
31, ,100,0,36,32, ,Left,SBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,30,1900,4,6,0,0,6,0,0,0, ,1400,0,0,
31, ,100,0,36,37, ,Right,SBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,30,1900,4,6,0,0,6,0,0,0, ,1900,0,0,
31, ,100,0,36,30, ,Right,SBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,30,1900,4,8,0,0,6,0,0,0, ,0,0,0,
31, ,100,0,37,32, ,Right,NBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,1900,0,0,
31, ,100,0,37,36, ,Left,NBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,1900,0,0,
31, ,100,0,37,30, ,Left,NBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,0,0,0,
31, ,100,0,32,36, ,Right,WBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,0,0,0,
31, ,100,0,32,37, ,Left,WBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,0,0,0,
31, ,100,0,32,30, ,Through,WBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,12,0,0,0,65,1900,4,6,0,0,105,0,0,0, ,0,0,0,
32, ,0,0,31,33, ,Through,EBT,0,0,0,98,98,100,3.11404e-007,0,0,0,0, ,0,0,2,0,12,0,0,0,45,1900,4,4,0,0,0,0,0,0, ,0,0,0,
32, ,0,0,33,31, ,Through,WBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,12,0,0,0,65,1900,4,6,0,0,0,0,0,0, ,0,0,0,
33, ,100,0,32,35, ,Through,EBT,0,0,0,98,98,100,9.34212e-007,0,0,0,0, ,0,0,2,0,12,0,0,0,45,1900,4,4,0,0,50,0,0,0, ,1900,0,0,
33, ,100,0,32,38, ,Left,EBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,40,1900,4,4,0,0,6,0,0,0, ,1400,0,0,
33, ,100,0,32,39, ,Right,EBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,40,1900,4,4,0,0,6,0,0,0, ,1900,0,0,
33, ,100,0,38,35, ,Left,SBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,1400,0,0,
33, ,100,0,38,39, ,Right,SBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,1900,0,0,
33, ,100,0,38,32, ,Right,SBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,8,0,0,6,0,0,0, ,0,0,0,
33, ,100,0,39,35, ,Right,NBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,1900,0,0,
33, ,100,0,39,38, ,Left,NBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,1900,0,0,
33, ,100,0,39,32, ,Left,NBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,2,0,0,6,0,0,0, ,0,0,0,
33, ,100,0,35,38, ,Right,WBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,0,0,0,
33, ,100,0,35,39, ,Left,WBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,65,1900,4,6,0,0,6,0,0,0, ,0,0,0,
33, ,100,0,35,32, ,Through,WBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,12,0,0,0,65,1900,4,6,0,0,105,0,0,0, ,0,0,0,
34, ,0,0,35,2, ,Through,EBT,0,0,0,98,98,100,3.11404e-007,0,0,0,0, ,0,0,2,0,12,0,0,0,45,1900,4,4,0,0,0,0,0,0, ,0,0,0,
34, ,0,0,2,35, ,Through,WBT,0,0,0,0,0,0,0,0,0,0,0, ,0,0,3,0,12,0,0,0,65,1900,4,6,0,0,0,0,0,0, ,0,0,0,
35, ,100,0,33,34, ,Through,EBT,0,0,0,98,98,100,6.22808e-007,0,0,0,0, ,0,0,2,0,12,0,0,0,45,1900,4,4,0,0,50,0,0,0, ,1900,0,0,
35, ,100,0,33,40, ,Left,EBL,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,40,1900,4,4,0,0,6,0,0,0, ,1400,0,0,
35, ,100,0,33,41, ,Right,EBR,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,12,0,0,0,40,1900,4,4,0,0,6,0,0,0, ,1900,0,0,
