agent_id,trip_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,start_time_in_min,end_time_in_min,travel_time_in_min,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,1,2,1,2,420.01,431.20,11.19,1,1,1,30.00,1,11,11.00,
1,0,1,2,1,2,420.02,431.30,11.28,1,1,1,30.00,2,19,11.00,
2,0,1,2,1,2,420.04,431.30,11.26,1,1,1,10.00,1,5,11.00,
3,0,1,2,1,2,420.05,431.30,11.25,1,1,1,20.00,1,1,11.00,
4,0,1,2,1,2,420.06,431.30,11.24,1,1,1,30.00,1,9,11.00,
5,0,1,2,1,2,420.07,431.30,11.23,1,1,1,10.00,1,8,11.00,
6,0,1,2,1,2,420.09,431.30,11.21,1,1,1,5.00,2,9,11.00,
7,0,1,2,1,2,420.10,431.30,11.20,1,1,1,1.00,1,3,11.00,
8,0,1,2,1,2,420.11,431.30,11.19,1,1,1,10.00,1,12,11.00,
9,0,1,2,1,2,420.12,431.40,11.28,1,1,1,30.00,1,3,11.00,
10,0,1,2,1,2,420.14,431.50,11.36,1,1,1,10.00,1,6,11.00,
11,0,1,2,1,2,420.15,431.50,11.35,1,1,1,10.00,1,10,11.00,
12,0,1,2,1,2,420.16,431.50,11.34,1,1,1,10.00,1,9,11.00,
13,0,1,2,1,2,420.17,431.50,11.33,1,1,1,30.00,1,6,11.00,
14,0,1,2,1,2,420.19,431.50,11.31,1,1,1,30.00,2,1,11.00,
15,0,1,2,1,2,420.20,431.60,11.40,1,1,1,5.00,1,8,11.00,
16,0,1,2,1,2,420.21,431.60,11.39,1,1,1,10.00,1,23,11.00,
17,0,1,2,1,2,420.22,431.60,11.38,2,2,1,15.00,1,8,11.00,
18,0,1,2,1,2,420.22,431.60,11.38,3,3,1,20.00,1,4,11.00,
19,0,1,2,1,2,420.22,431.70,11.48,1,1,1,30.00,1,4,11.00,
20,0,1,2,1,2,420.23,431.70,11.47,1,1,1,15.00,1,7,11.00,
21,0,1,2,1,2,420.25,431.70,11.45,1,1,1,10.00,1,3,11.00,
22,0,1,2,1,2,420.26,431.70,11.44,1,1,1,5.00,1,5,11.00,
23,0,1,2,1,2,420.27,431.70,11.43,1,1,1,15.00,2,5,11.00,
24,0,1,2,1,2,420.28,431.80,11.52,1,1,1,10.00,2,5,11.00,
25,0,1,2,1,2,420.30,431.80,11.50,1,1,1,10.00,1,6,11.00,
26,0,1,2,1,2,420.31,431.80,11.49,1,1,1,30.00,1,9,11.00,
27,0,1,2,1,2,420.32,431.80,11.48,1,1,1,20.00,1,6,11.00,
28,0,1,2,1,2,420.33,431.90,11.57,1,1,1,10.00,1,10,11.00,
29,0,1,2,1,2,420.35,431.90,11.55,1,1,1,20.00,2,6,11.00,
30,0,1,2,1,2,420.36,431.90,11.54,1,1,1,30.00,1,4,11.00,
31,0,1,2,1,2,420.37,431.90,11.53,1,1,1,60.00,1,8,11.00,
32,0,1,2,1,2,420.38,431.90,11.52,1,1,1,10.00,1,12,11.00,
33,0,1,2,1,2,420.40,432.00,11.60,1,1,1,20.00,1,10,11.00,
34,0,1,2,1,2,420.41,432.00,11.59,1,1,1,20.00,1,1,11.00,
35,0,1,2,1,2,420.42,432.00,11.58,1,1,1,15.00,2,2,11.00,
36,0,1,2,1,2,420.43,432.00,11.57,1,1,1,10.00,1,13,11.00,
37,0,1,2,1,2,420.44,432.10,11.66,3,3,1,30.00,1,4,11.00,
38,0,1,2,1,2,420.44,432.10,11.66,2,2,1,20.00,2,6,11.00,
39,0,1,2,1,2,420.44,432.10,11.66,1,1,1,10.00,1,9,11.00,
40,0,1,2,1,2,420.46,432.10,11.64,1,1,1,30.00,2,22,11.00,
41,0,1,2,1,2,420.47,432.10,11.63,1,1,1,5.00,2,11,11.00,
42,0,1,2,1,2,420.48,432.20,11.72,1,1,1,10.00,1,1,11.00,
43,0,1,2,1,2,420.49,432.20,11.71,1,1,1,15.00,1,0,11.00,
44,0,1,2,1,2,420.51,432.20,11.69,1,1,1,15.00,1,30,11.00,
45,0,1,2,1,2,420.52,432.20,11.68,1,1,1,10.00,1,7,11.00,
46,0,1,2,1,2,420.53,432.30,11.77,1,1,1,20.00,2,7,11.00,
47,0,1,2,1,2,420.54,432.30,11.76,1,1,1,40.00,1,0,11.00,
48,0,1,2,1,2,420.56,432.30,11.74,1,1,1,5.00,1,14,11.00,
49,0,1,2,1,2,420.57,432.30,11.73,1,1,1,1.00,1,0,11.00,
50,0,1,2,1,2,420.58,432.30,11.72,1,1,1,20.00,1,0,11.00,
51,0,1,2,1,2,420.59,432.40,11.81,1,1,1,10.00,1,6,11.00,
52,0,1,2,1,2,420.60,432.40,11.80,1,1,1,20.00,1,30,11.00,
53,0,1,2,1,2,420.62,432.40,11.78,1,1,1,10.00,2,14,11.00,
54,0,1,2,1,2,420.63,432.40,11.77,1,1,1,20.00,1,18,11.00,
55,0,1,2,1,2,420.64,432.50,11.86,1,1,1,1.00,1,12,11.00,
56,0,1,2,1,2,420.65,432.50,11.85,1,1,1,20.00,1,6,11.00,
57,0,1,2,1,2,420.67,432.50,11.83,2,2,1,30.00,1,12,11.00,
58,0,1,2,1,2,420.67,432.50,11.83,3,3,1,20.00,1,3,11.00,
59,0,1,2,1,2,420.67,432.50,11.83,1,1,1,30.00,2,2,11.00,
60,0,1,2,1,2,420.68,432.60,11.92,1,1,1,10.00,1,5,11.00,
61,0,1,2,1,2,420.69,432.60,11.91,1,1,1,10.00,1,5,11.00,
62,0,1,2,1,2,420.70,432.60,11.90,1,1,1,20.00,2,12,11.00,
63,0,1,2,1,2,420.72,432.60,11.88,1,1,1,30.00,1,12,11.00,
64,0,1,2,1,2,420.73,432.70,11.97,1,1,1,40.00,1,10,11.00,
65,0,1,2,1,2,420.74,432.70,11.96,1,1,1,20.00,1,30,11.00,
66,0,1,2,1,2,420.75,432.70,11.95,1,1,1,10.00,1,8,11.00,
67,0,1,2,1,2,420.77,432.70,11.93,1,1,1,10.00,1,4,11.00,
68,0,1,2,1,2,420.78,432.70,11.92,1,1,1,10.00,1,5,11.00,
69,0,1,2,1,2,420.79,432.80,12.01,1,1,1,15.00,1,6,11.00,
70,0,1,2,1,2,420.80,432.80,12.00,1,1,1,20.00,1,9,11.00,
71,0,1,2,1,2,420.81,432.80,11.99,1,1,1,20.00,1,10,11.00,
72,0,1,2,1,2,420.83,432.80,11.97,1,1,1,1.00,1,11,11.00,
73,0,1,2,1,2,420.84,432.90,12.06,1,1,1,20.00,1,5,11.00,
74,0,1,2,1,2,420.85,432.90,12.05,1,1,1,30.00,2,8,11.00,
75,0,1,2,1,2,420.86,432.90,12.04,1,1,1,10.00,1,3,11.00,
76,0,1,2,1,2,420.88,432.90,12.02,1,1,1,30.00,1,18,11.00,
77,0,1,2,1,2,420.89,432.90,12.01,3,3,1,20.00,1,6,11.00,
78,0,1,2,1,2,420.89,433.00,12.11,2,2,1,30.00,1,5,11.00,
79,0,1,2,1,2,420.89,433.00,12.11,1,1,1,15.00,1,8,11.00,
