project_name,aggregation_interval (min),display_link_index,from_node_id,to_node_id,link_name,timestamp (min),hour,min,Link Inflow Volume (vph),Link Outflow Volume (vph),Lane Inflow Volume(vphpl),Speed (mph),Speed (km/h),Density (vpmpl),Queue Length as Percentage of Link Length,Cumulative Arrival Count,Cumulative Departure Count,Sensor Link Inflow Volume (vph),Sensor Lane Inflow Volume(vphpl),Sensor Speed (mph),Sensor Speed (km/h),Sensor Density (vpmpl),
3-Corridor_Network,1,29,8,9, ,448,7,441,3600,3600,1200,15,24.1402,80,33.3333,1503,1263,0,0,15,24.1402,80,
3-Corridor_Network,1,30,8,9, ,449,7,442,3600,3600,1200,15,24.1402,80,33.3333,1563,1323,0,0,15,24.1402,80,
3-Corridor_Network,1,31,8,9, ,450,7,443,3600,3600,1200,15,24.1402,80,33.3333,1623,1383,0,0,15,24.1402,80,
3-Corridor_Network,1,32,8,9, ,451,7,444,3600,3600,1200,15,24.1402,80,33.3333,1683,1443,0,0,15,24.1402,80,
3-Corridor_Network,1,33,8,9, ,452,7,445,3600,3600,1200,15,24.1402,80,33.3333,1743,1503,0,0,15,24.1402,80,
3-Corridor_Network,1,34,8,9, ,453,7,446,3600,3600,1200,15,24.1402,80,33.3333,1803,1563,0,0,15,24.1402,80,
3-Corridor_Network,1,35,8,9, ,454,7,447,3600,3600,1200,15,24.1402,80,33.3333,1863,1623,0,0,15,24.1402,80,
3-Corridor_Network,1,36,8,9, ,455,7,448,3600,3600,1200,15,24.1402,80,33.3333,1923,1683,0,0,15,24.1402,80,
3-Corridor_Network,1,37,8,9, ,456,7,449,3600,3600,1200,15,24.1402,80,33.3333,1983,1743,0,0,15,24.1402,80,
3-Corridor_Network,1,38,8,9, ,457,7,450,3600,3600,1200,15,24.1402,80,33.3333,2043,1803,0,0,15,24.1402,80,
3-Corridor_Network,1,39,8,9, ,458,7,451,3600,3600,1200,15,24.1402,80,33.3333,2103,1863,0,0,15,24.1402,80,
3-Corridor_Network,1,40,8,9, ,459,7,452,3600,3600,1200,15,24.1402,80,33.3333,2163,1923,0,0,15,24.1402,80,
3-Corridor_Network,1,41,8,9, ,460,7,453,3600,3600,1200,15,24.1402,80,33.3333,2223,1983,0,0,15,24.1402,80,
3-Corridor_Network,1,42,8,9, ,461,7,454,3600,3600,1200,15,24.1402,80,33.3333,2283,2043,0,0,15,24.1402,80,
3-Corridor_Network,1,43,8,9, ,462,7,455,3600,3600,1200,15,24.1402,80,33.3333,2343,2103,0,0,15,24.1402,80,
3-Corridor_Network,1,44,8,9, ,463,7,456,3600,3600,1200,15,24.1402,80,33.3333,2403,2163,0,0,15,24.1402,80,
3-Corridor_Network,1,45,8,9, ,464,7,457,3600,3600,1200,15,24.1402,80,33.3333,2463,2223,0,0,15,24.1402,80,
3-Corridor_Network,1,46,8,9, ,465,7,458,3600,3600,1200,15,24.1402,80,33.3333,2523,2283,0,0,15,24.1402,80,
3-Corridor_Network,1,47,8,9, ,466,7,459,3600,3600,1200,15,24.1402,80,33.3333,2583,2343,0,0,15,24.1402,80,
3-Corridor_Network,1,48,8,9, ,467,7,460,3600,3600,1200,15,24.1402,80,33.3333,2643,2403,0,0,15,24.1402,80,
3-Corridor_Network,1,49,8,9, ,468,7,461,3600,3600,1200,15,24.1402,80,33.3333,2703,2463,0,0,15,24.1402,80,
3-Corridor_Network,1,50,8,9, ,469,7,462,3600,3600,1200,15,24.1402,80,33.3333,2763,2523,0,0,15,24.1402,80,
3-Corridor_Network,1,51,8,9, ,470,7,463,3600,3600,1200,15,24.1402,80,33.3333,2823,2583,0,0,15,24.1402,80,
3-Corridor_Network,1,52,8,9, ,471,7,464,3600,3600,1200,15,24.1402,80,33.3333,2883,2643,0,0,15,24.1402,80,
3-Corridor_Network,1,53,8,9, ,472,7,465,3600,3600,1200,15,24.1402,80,33.3333,2943,2703,0,0,15,24.1402,80,
3-Corridor_Network,1,54,8,9, ,473,7,466,3600,3600,1200,15,24.1402,80,33.3333,3003,2763,0,0,15,24.1402,80,
3-Corridor_Network,1,55,8,9, ,474,7,467,3600,3600,1200,15,24.1402,80,33.3333,3063,2823,0,0,15,24.1402,80,
3-Corridor_Network,1,56,8,9, ,475,7,468,3600,3600,1200,15,24.1402,80,33.3333,3123,2883,0,0,15,24.1402,80,
3-Corridor_Network,1,57,8,9, ,476,7,469,3600,3600,1200,15,24.1402,80,33.3333,3183,2943,0,0,15,24.1402,80,
3-Corridor_Network,1,58,8,9, ,477,7,470,3600,3600,1200,15,24.1402,80,33.3333,3243,3003,0,0,15,24.1402,80,
3-Corridor_Network,1,59,8,9, ,478,7,471,3600,3600,1200,15,24.1402,80,33.3333,3303,3063,0,0,15,24.1402,80,
3-Corridor_Network,1,60,8,9, ,479,7,472,3600,3600,1200,15,24.1402,80,33.3333,3363,3123,0,0,15,24.1402,80,
